CNPJ,EMPRESA,CONTA,DESCRIÇÃO,VALOR,DEMONSTRATIVO,ANO,MES,PERIODO
16.590.234/0001-76,AREZZO INDÚSTRIA E COMÉRCIO S.A.,1,Ativo Total,480897.0,Balanço Patrimonial Ativo,2011,3,1T2011
16.590.234/0001-76,AREZZO INDÚSTRIA E COMÉRCIO S.A.,1.01,Ativo Circulante,419920.0,Balanço Patrimonial Ativo,2011,3,1T2011
16.590.234/0001-76,AREZZO INDÚSTRIA E COMÉRCIO S.A.,1.01.01,Caixa e Equivalentes de Caixa,6809.0,Balanço Patrimonial Ativo,2011,3,1T2011
16.590.234/0001-76,AREZZO INDÚSTRIA E COMÉRCIO S.A.,1.01.02,Aplicações Financeiras,180484.0,Balanço Patrimonial Ativo,2011,3,1T2011
16.590.234/0001-76,AREZZO INDÚSTRIA E COMÉRCIO S.A.,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,180484.0,Balanço Patrimonial Ativo,2011,3,1T2011
16.590.234/0001-76,AREZZO INDÚSTRIA E COMÉRCIO S.A.,1.01.02.01.01,Títulos para Negociação,180484.0,Balanço Patrimonial Ativo,2011,3,1T2011
16.590.234/0001-76,AREZZO INDÚSTRIA E COMÉRCIO S.A.,1.01.02.01.02,Títulos Disponíveis para Venda,0.0,Balanço Patrimonial Ativo,2011,3,1T2011
16.590.234/0001-76,AREZZO INDÚSTRIA E COMÉRCIO S.A.,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0,Balanço Patrimonial Ativo,2011,3,1T2011
16.590.234/0001-76,AREZZO INDÚSTRIA E COMÉRCIO S.A.,1.01.02.02.01,Títulos Mantidos até o Vencimento,0.0,Balanço Patrimonial Ativo,2011,3,1T2011
16.590.234/0001-76,AREZZO INDÚSTRIA E COMÉRCIO S.A.,1.01.03,Contas a Receber,150836.0,Balanço Patrimonial Ativo,2011,3,1T2011
16.590.234/0001-76,AREZZO INDÚSTRIA E COMÉRCIO S.A.,1.01.03.01,Clientes,150836.0,Balanço Patrimonial Ativo,2011,3,1T2011
16.590.234/0001-76,AREZZO INDÚSTRIA E COMÉRCIO S.A.,1.01.03.02,Outras Contas a Receber,0.0,Balanço Patrimonial Ativo,2011,3,1T2011
16.590.234/0001-76,AREZZO INDÚSTRIA E COMÉRCIO S.A.,1.01.04,Estoques,64585.0,Balanço Patrimonial Ativo,2011,3,1T2011
16.590.234/0001-76,AREZZO INDÚSTRIA E COMÉRCIO S.A.,1.01.05,Ativos Biológicos,0.0,Balanço Patrimonial Ativo,2011,3,1T2011
16.590.234/0001-76,AREZZO INDÚSTRIA E COMÉRCIO S.A.,1.01.06,Tributos a Recuperar,8889.0,Balanço Patrimonial Ativo,2011,3,1T2011
16.590.234/0001-76,AREZZO INDÚSTRIA E COMÉRCIO S.A.,1.01.06.01,Tributos Correntes a Recuperar,8889.0,Balanço Patrimonial Ativo,2011,3,1T2011
16.590.234/0001-76,AREZZO INDÚSTRIA E COMÉRCIO S.A.,1.01.07,Despesas Antecipadas,0.0,Balanço Patrimonial Ativo,2011,3,1T2011
16.590.234/0001-76,AREZZO INDÚSTRIA E COMÉRCIO S.A.,1.01.08,Outros Ativos Circulantes,8317.0,Balanço Patrimonial Ativo,2011,3,1T2011
