CNPJ,EMPRESA,CONTA,DESCRIÇÃO,VALOR,DEMONSTRATIVO,ANO,MES,PERIODO
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,1,Ativo Total,374662683.0,Balanço Patrimonial Ativo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,1.01,Caixa e Equivalentes de Caixa,56800151.0,Balanço Patrimonial Ativo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,1.01.01,Disponibilidades e Reservas no Banco Central do Brasil,56800151.0,Balanço Patrimonial Ativo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,1.02,Aplicações Financeiras,89967165.0,Balanço Patrimonial Ativo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,1.02.01,Aplicações Financeiras Avaliadas a Valor Justo,89967165.0,Balanço Patrimonial Ativo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,1.02.01.01,Títulos para Negociação,24821365.0,Balanço Patrimonial Ativo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,1.02.01.02,Títulos Disponíveis para Venda,47206019.0,Balanço Patrimonial Ativo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,1.02.01.03,Outros Ativos Financeiros ao Valor Justo no Resultado,17939781.0,Balanço Patrimonial Ativo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,1.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0,Balanço Patrimonial Ativo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,1.02.02.01,Títulos Mantidos até o Vencimento,0.0,Balanço Patrimonial Ativo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,1.03,Empréstimos e Recebíveis,174106525.0,Balanço Patrimonial Ativo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,1.03.01,Empréstimos e outros valores com instituições de crédito,22658520.0,Balanço Patrimonial Ativo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,1.03.02,Empréstimos e adiantamentos a clientes,151366561.0,Balanço Patrimonial Ativo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,1.03.03,Instrumentos de dívida,81444.0,Balanço Patrimonial Ativo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,1.04,Tributos Diferidos,14842066.0,Balanço Patrimonial Ativo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,1.04.01,Imposto de Renda e Contribuição Social Diferidos,13624880.0,Balanço Patrimonial Ativo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,1.04.02,Imposto de Renda e Contribuição Social Correntes,1217186.0,Balanço Patrimonial Ativo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,1.05,Outros Ativos,2095462.0,Balanço Patrimonial Ativo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,1.05.01,Ativos Não Correntes a Venda,66821.0,Balanço Patrimonial Ativo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,1.05.02,Ativos de Operações Descontinuadas,0.0,Balanço Patrimonial Ativo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,1.05.03,Outros,2028641.0,Balanço Patrimonial Ativo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,1.05.03.01,Derivativos Utilizados como Hedge,115640.0,Balanço Patrimonial Ativo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,1.05.03.02,Outros Ativos,1913001.0,Balanço Patrimonial Ativo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,1.06,Investimentos,370586.0,Balanço Patrimonial Ativo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,1.06.01,Participações em Coligadas,370586.0,Balanço Patrimonial Ativo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,1.06.02,Outros,0.0,Balanço Patrimonial Ativo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,1.07,Imobilizado,4518109.0,Balanço Patrimonial Ativo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,1.07.01,Imobilizado de Uso,4518109.0,Balanço Patrimonial Ativo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,1.07.02,Imobilizado de Arrendamento,0.0,Balanço Patrimonial Ativo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,1.08,Intangível,31962619.0,Balanço Patrimonial Ativo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,1.08.01,Intangíveis,3650383.0,Balanço Patrimonial Ativo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,1.08.01.01,Outros Ativos Intangíveis,3650383.0,Balanço Patrimonial Ativo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,1.08.02,Goodwill,28312236.0,Balanço Patrimonial Ativo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,2,Passivo Total,374662683.0,Balanço Patrimonial Passivo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,2.01,Passivos Financeiros para Negociação,4784653.0,Balanço Patrimonial Passivo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,2.01.01,Derivativos,4755314.0,Balanço Patrimonial Passivo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,2.01.02,Posições vendidas,29339.0,Balanço Patrimonial Passivo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,2.02,Outros Passivos Financeiros ao Valor Justo no Resultado,0.0,Balanço Patrimonial Passivo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,2.02.01,Depósitos de instituições de crédito,0.0,Balanço Patrimonial Passivo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,2.03,Passivos Financeiros ao Custo Amortizado,253340771.0,Balanço Patrimonial Passivo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,2.03.01,Depósitos do Banco Central do Brasil,0.0,Balanço Patrimonial Passivo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,2.03.02,Depósitos de instituições de crédito,42391572.0,Balanço Patrimonial Passivo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,2.03.03,Depósitos de clientes,167949201.0,Balanço Patrimonial Passivo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,2.03.04,Obrigações por títulos e valores mobiliários,20086645.0,Balanço Patrimonial Passivo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,2.03.05,Dívidas subordinadas,9695105.0,Balanço Patrimonial Passivo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,2.03.06,Outros passivos financeiros,13218248.0,Balanço Patrimonial Passivo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,2.04,Provisões,9395161.0,Balanço Patrimonial Passivo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,2.04.01,Provisões para fundos de pensões e obrigações similares,1190108.0,Balanço Patrimonial Passivo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,2.04.02,"Provisões para passivos contingentes, compromissos e outras provisões",8205053.0,Balanço Patrimonial Passivo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,2.05,Passivos Fiscais,10529625.0,Balanço Patrimonial Passivo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,2.05.01,Correntes,6249466.0,Balanço Patrimonial Passivo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,2.05.02,Diferidos,4280159.0,Balanço Patrimonial Passivo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,2.06,Outros Passivos,23249079.0,Balanço Patrimonial Passivo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,2.06.01,Derivativos utilizados como hedge,112.0,Balanço Patrimonial Passivo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,2.06.02,Passivos por contratos de seguro,19643129.0,Balanço Patrimonial Passivo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,2.06.03,Outras obrigações,3605838.0,Balanço Patrimonial Passivo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,2.07,Passivos sobre Ativos Não Correntes a Venda e Descontinuados,0.0,Balanço Patrimonial Passivo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,2.07.01,Passivos sobre Ativos Não Correntes a Venda,0.0,Balanço Patrimonial Passivo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,2.07.02,Passivos sobre Ativos de Operações Descontinuadas,0.0,Balanço Patrimonial Passivo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,2.08,Patrimônio Líquido Consolidado,73363394.0,Balanço Patrimonial Passivo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,2.08.01,Capital Social Realizado,72571563.0,Balanço Patrimonial Passivo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,2.08.01.01,Capital social,62634585.0,Balanço Patrimonial Passivo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,2.08.01.02,Reservas,6094885.0,Balanço Patrimonial Passivo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,2.08.01.03,Lucro do exercício atribuível à controladora,7382093.0,Balanço Patrimonial Passivo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,2.08.01.04,Menos: dividendos e remuneração,-3540000.0,Balanço Patrimonial Passivo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,2.08.02,Reservas de Capital,0.0,Balanço Patrimonial Passivo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,2.08.02.01,Ágio na Emissão de Ações,0.0,Balanço Patrimonial Passivo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,2.08.02.02,Reserva Especial de Ágio na Incorporação,0.0,Balanço Patrimonial Passivo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,2.08.02.03,Alienação de Bônus de Subscrição,0.0,Balanço Patrimonial Passivo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,2.08.02.04,Opções Outorgadas,0.0,Balanço Patrimonial Passivo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,2.08.02.05,Ações em Tesouraria,0.0,Balanço Patrimonial Passivo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,2.08.03,Reservas de Reavaliação,0.0,Balanço Patrimonial Passivo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,2.08.04,Reservas de Lucros,0.0,Balanço Patrimonial Passivo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,2.08.04.01,Reserva Legal,0.0,Balanço Patrimonial Passivo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,2.08.04.02,Reserva Estatutária,0.0,Balanço Patrimonial Passivo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,2.08.04.03,Reserva para Contingências,0.0,Balanço Patrimonial Passivo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,2.08.04.04,Reserva de Lucros a Realizar,0.0,Balanço Patrimonial Passivo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,2.08.04.05,Reserva de Retenção de Lucros,0.0,Balanço Patrimonial Passivo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,2.08.04.06,Reserva Especial para Dividendos Não Distribuídos,0.0,Balanço Patrimonial Passivo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,2.08.04.07,Reserva de Incentivos Fiscais,0.0,Balanço Patrimonial Passivo,2010,12,ANUAL
90.400.888/0001-42,BCO SANTANDER (BRASIL) S.A.,2.08.04.08,Dividendo Adicional Proposto,0.0,Balanço Patrimonial Passivo,2010,12,ANUAL
