CNPJ,EMPRESA,CONTA,DESCRIÇÃO,VALOR,DEMONSTRATIVO,ANO,MES,PERIODO
03.220.438/0001-73,EQUATORIAL ENERGIA S.A.,1,Ativo Total,3398831.0,Balanço Patrimonial Ativo,2011,12,4T2011
03.220.438/0001-73,EQUATORIAL ENERGIA S.A.,1.01,Ativo Circulante,1053617.0,Balanço Patrimonial Ativo,2011,12,4T2011
03.220.438/0001-73,EQUATORIAL ENERGIA S.A.,1.01.01,Caixa e Equivalentes de Caixa,242655.0,Balanço Patrimonial Ativo,2011,12,4T2011
03.220.438/0001-73,EQUATORIAL ENERGIA S.A.,1.01.02,Aplicações Financeiras,205745.0,Balanço Patrimonial Ativo,2011,12,4T2011
03.220.438/0001-73,EQUATORIAL ENERGIA S.A.,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0,Balanço Patrimonial Ativo,2011,12,4T2011
03.220.438/0001-73,EQUATORIAL ENERGIA S.A.,1.01.02.01.01,Títulos para Negociação,0.0,Balanço Patrimonial Ativo,2011,12,4T2011
03.220.438/0001-73,EQUATORIAL ENERGIA S.A.,1.01.02.01.02,Títulos Disponíveis para Venda,0.0,Balanço Patrimonial Ativo,2011,12,4T2011
03.220.438/0001-73,EQUATORIAL ENERGIA S.A.,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0,Balanço Patrimonial Ativo,2011,12,4T2011
03.220.438/0001-73,EQUATORIAL ENERGIA S.A.,1.01.02.02.01,Títulos Mantidos até o Vencimento,0.0,Balanço Patrimonial Ativo,2011,12,4T2011
03.220.438/0001-73,EQUATORIAL ENERGIA S.A.,1.01.03,Contas a Receber,527637.0,Balanço Patrimonial Ativo,2011,12,4T2011
03.220.438/0001-73,EQUATORIAL ENERGIA S.A.,1.01.03.01,Clientes,472627.0,Balanço Patrimonial Ativo,2011,12,4T2011
03.220.438/0001-73,EQUATORIAL ENERGIA S.A.,1.01.03.02,Outras Contas a Receber,55010.0,Balanço Patrimonial Ativo,2011,12,4T2011
03.220.438/0001-73,EQUATORIAL ENERGIA S.A.,1.01.03.02.01,Serviços pedidos,29102.0,Balanço Patrimonial Ativo,2011,12,4T2011
03.220.438/0001-73,EQUATORIAL ENERGIA S.A.,1.01.03.02.02,Outros créditos,7965.0,Balanço Patrimonial Ativo,2011,12,4T2011
03.220.438/0001-73,EQUATORIAL ENERGIA S.A.,1.01.03.02.03,Depósitos judiciais,17943.0,Balanço Patrimonial Ativo,2011,12,4T2011
03.220.438/0001-73,EQUATORIAL ENERGIA S.A.,1.01.04,Estoques,8752.0,Balanço Patrimonial Ativo,2011,12,4T2011
03.220.438/0001-73,EQUATORIAL ENERGIA S.A.,1.01.05,Ativos Biológicos,0.0,Balanço Patrimonial Ativo,2011,12,4T2011
03.220.438/0001-73,EQUATORIAL ENERGIA S.A.,1.01.06,Tributos a Recuperar,68828.0,Balanço Patrimonial Ativo,2011,12,4T2011
03.220.438/0001-73,EQUATORIAL ENERGIA S.A.,1.01.06.01,Tributos Correntes a Recuperar,68828.0,Balanço Patrimonial Ativo,2011,12,4T2011
03.220.438/0001-73,EQUATORIAL ENERGIA S.A.,1.01.06.01.01,Impostos e contribuições a recuperar,38594.0,Balanço Patrimonial Ativo,2011,12,4T2011
03.220.438/0001-73,EQUATORIAL ENERGIA S.A.,1.01.06.01.02,Imposto de renda e contribuição social diferidos,0.0,Balanço Patrimonial Ativo,2011,12,4T2011
03.220.438/0001-73,EQUATORIAL ENERGIA S.A.,1.01.06.01.03,Imposto sobre o lucro,30234.0,Balanço Patrimonial Ativo,2011,12,4T2011
03.220.438/0001-73,EQUATORIAL ENERGIA S.A.,1.01.07,Despesas Antecipadas,0.0,Balanço Patrimonial Ativo,2011,12,4T2011
03.220.438/0001-73,EQUATORIAL ENERGIA S.A.,1.01.08,Outros Ativos Circulantes,0.0,Balanço Patrimonial Ativo,2011,12,4T2011
03.220.438/0001-73,EQUATORIAL ENERGIA S.A.,1.01.08.01,Ativos Não-Correntes a Venda,0.0,Balanço Patrimonial Ativo,2011,12,4T2011
03.220.438/0001-73,EQUATORIAL ENERGIA S.A.,1.01.08.02,Ativos de Operações Descontinuadas,0.0,Balanço Patrimonial Ativo,2011,12,4T2011
03.220.438/0001-73,EQUATORIAL ENERGIA S.A.,1.01.08.03,Outros,0.0,Balanço Patrimonial Ativo,2011,12,4T2011
03.220.438/0001-73,EQUATORIAL ENERGIA S.A.,1.02,Ativo Não Circulante,2345214.0,Balanço Patrimonial Ativo,2011,12,4T2011
03.220.438/0001-73,EQUATORIAL ENERGIA S.A.,1.02.01,Ativo Realizável a Longo Prazo,417150.0,Balanço Patrimonial Ativo,2011,12,4T2011
03.220.438/0001-73,EQUATORIAL ENERGIA S.A.,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0,Balanço Patrimonial Ativo,2011,12,4T2011
03.220.438/0001-73,EQUATORIAL ENERGIA S.A.,1.02.01.01.01,Títulos para Negociação,0.0,Balanço Patrimonial Ativo,2011,12,4T2011
03.220.438/0001-73,EQUATORIAL ENERGIA S.A.,1.02.01.01.02,Títulos Disponíveis para Venda,0.0,Balanço Patrimonial Ativo,2011,12,4T2011
03.220.438/0001-73,EQUATORIAL ENERGIA S.A.,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0,Balanço Patrimonial Ativo,2011,12,4T2011
03.220.438/0001-73,EQUATORIAL ENERGIA S.A.,1.02.01.02.01,Títulos Mantidos até o Vencimento,0.0,Balanço Patrimonial Ativo,2011,12,4T2011
03.220.438/0001-73,EQUATORIAL ENERGIA S.A.,1.02.01.03,Contas a Receber,69980.0,Balanço Patrimonial Ativo,2011,12,4T2011
03.220.438/0001-73,EQUATORIAL ENERGIA S.A.,1.02.01.03.01,Clientes,69980.0,Balanço Patrimonial Ativo,2011,12,4T2011
03.220.438/0001-73,EQUATORIAL ENERGIA S.A.,1.02.01.03.02,Outras Contas a Receber,0.0,Balanço Patrimonial Ativo,2011,12,4T2011
03.220.438/0001-73,EQUATORIAL ENERGIA S.A.,1.02.01.04,Estoques,0.0,Balanço Patrimonial Ativo,2011,12,4T2011
03.220.438/0001-73,EQUATORIAL ENERGIA S.A.,1.02.01.05,Ativos Biológicos,0.0,Balanço Patrimonial Ativo,2011,12,4T2011
03.220.438/0001-73,EQUATORIAL ENERGIA S.A.,1.02.01.06,Tributos Diferidos,75911.0,Balanço Patrimonial Ativo,2011,12,4T2011
03.220.438/0001-73,EQUATORIAL ENERGIA S.A.,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,75911.0,Balanço Patrimonial Ativo,2011,12,4T2011
03.220.438/0001-73,EQUATORIAL ENERGIA S.A.,1.02.01.07,Despesas Antecipadas,0.0,Balanço Patrimonial Ativo,2011,12,4T2011
03.220.438/0001-73,EQUATORIAL ENERGIA S.A.,1.02.01.08,Créditos com Partes Relacionadas,0.0,Balanço Patrimonial Ativo,2011,12,4T2011
03.220.438/0001-73,EQUATORIAL ENERGIA S.A.,1.02.01.08.01,Créditos com Coligadas,0.0,Balanço Patrimonial Ativo,2011,12,4T2011
03.220.438/0001-73,EQUATORIAL ENERGIA S.A.,1.02.01.08.03,Créditos com Controladores,0.0,Balanço Patrimonial Ativo,2011,12,4T2011
03.220.438/0001-73,EQUATORIAL ENERGIA S.A.,1.02.01.08.04,Créditos com Outras Partes Relacionadas,0.0,Balanço Patrimonial Ativo,2011,12,4T2011
03.220.438/0001-73,EQUATORIAL ENERGIA S.A.,1.02.01.09,Outros Ativos Não Circulantes,271259.0,Balanço Patrimonial Ativo,2011,12,4T2011
03.220.438/0001-73,EQUATORIAL ENERGIA S.A.,1.02.01.09.01,Ativos Não-Correntes a Venda,0.0,Balanço Patrimonial Ativo,2011,12,4T2011
03.220.438/0001-73,EQUATORIAL ENERGIA S.A.,1.02.01.09.02,Ativos de Operações Descontinuadas,0.0,Balanço Patrimonial Ativo,2011,12,4T2011
03.220.438/0001-73,EQUATORIAL ENERGIA S.A.,1.02.01.09.03,Ativo Financeiro da Concessão - líquido,79214.0,Balanço Patrimonial Ativo,2011,12,4T2011
